,Actuales,Objetivo
07/27/2026,8465,8800
07/28/2026,11755,8800
07/29/2026,7891,8800
07/30/2026,10117,8800
07/31/2026,10096,8800
08/01/2026,9691,8800
08/02/2026,7573,8800
08/03/2026,7829,8800
08/04/2026,8894,8800
08/05/2026,10503,8800
08/06/2026,9565,8800
08/07/2026,7574,8800
08/08/2026,7412,8800
08/09/2026,9053,8800
08/10/2026,8402,8800
08/11/2026,7822,8800
08/12/2026,4193,8800
08/13/2026,7892,8800
08/14/2026,12172,8800
08/15/2026,16457,8800
08/16/2026,8765,8800
08/17/2026,12162,8800
08/18/2026,6988,8800
08/19/2026,7045,8800
08/20/2026,6332,8800
08/21/2026,9461,8800
08/22/2026,10920,8800
08/23/2026,55,8800
